locs,techs,timesteps,storage
NORD,PHS_PP_ex,2019-04-02 22:00:00,8.258303045844997
NORD,PHS_PP_ex,2019-04-02 23:00:00,8.388981157614998
NORD,PHS_PP_ex,2019-04-03 00:00:00,8.519733190369998
NORD,PHS_PP_ex,2019-04-03 01:00:00,8.650267110149997
NORD,PHS_PP_ex,2019-04-03 02:00:00,8.779998389294997
NORD,PHS_PP_ex,2019-04-03 03:00:00,8.907677046814998
NORD,PHS_PP_ex,2019-04-03 04:00:00,9.033930107744998
NORD,PHS_PP_ex,2019-04-03 05:00:00,9.159017026734999
NORD,PHS_PP_ex,2019-04-03 06:00:00,9.28490619012
NORD,PHS_PP_ex,2019-04-03 07:00:00,9.41322350778
NORD,PHS_PP_ex,2019-04-03 08:00:00,9.548671227105
NORD,PHS_PP_ex,2019-04-03 09:00:00,9.697474745855
NORD,PHS_PP_ex,2019-04-03 10:00:00,9.88166069384
NORD,PHS_PP_ex,2019-04-03 11:00:00,10.095795840880001
NORD,PHS_PP_ex,2019-04-03 12:00:00,10.317486813550001
NORD,PHS_PP_ex,2019-04-03 13:00:00,10.557053472465002
NORD,PHS_PP_ex,2019-04-03 14:00:00,10.820542875000003
NORD,PHS_PP_ex,2019-04-03 15:00:00,11.122123459290004
NORD,PHS_PP_ex,2019-04-03 16:00:00,11.414116833265004
NORD,PHS_PP_ex,2019-04-03 17:00:00,11.719477150280003
NORD,PHS_PP_ex,2019-04-03 18:00:00,12.015727720465003
NORD,PHS_PP_ex,2019-04-03 19:00:00,12.253620937845003
NORD,PHS_PP_ex,2019-04-03 20:00:00,12.496328065460004
NORD,PHS_PP_ex,2019-04-03 21:00:00,12.746548104770003
NORD,PHS_PP_ex,2019-04-03 22:00:00,13.011621272870004
NORD,PHS_PP_ex,2019-04-03 23:00:00,0.0
SARD,PHS_PP_ex,2019-04-01 00:00:00,0.189598480975
SARD,PHS_PP_ex,2019-04-01 01:00:00,0.37919696195
SARD,PHS_PP_ex,2019-04-01 02:00:00,0.5687954429250001
SARD,PHS_PP_ex,2019-04-01 03:00:00,0.75782236548
SARD,PHS_PP_ex,2019-04-01 04:00:00,0.947146321985
SARD,PHS_PP_ex,2019-04-01 05:00:00,1.136463991355
SARD,PHS_PP_ex,2019-04-01 06:00:00,1.326902405245
SARD,PHS_PP_ex,2019-04-01 07:00:00,1.55717414625
SARD,PHS_PP_ex,2019-04-01 08:00:00,1.78815212727
SARD,PHS_PP_ex,2019-04-01 09:00:00,1.9812720471
SARD,PHS_PP_ex,2019-04-01 10:00:00,2.170786250875
SARD,PHS_PP_ex,2019-04-01 11:00:00,2.3642467478749998
SARD,PHS_PP_ex,2019-04-01 12:00:00,2.5958569094949997
SARD,PHS_PP_ex,2019-04-01 13:00:00,2.8794866819599996
SARD,PHS_PP_ex,2019-04-01 14:00:00,3.1475250009749995
SARD,PHS_PP_ex,2019-04-01 15:00:00,3.3675059395999996
SARD,PHS_PP_ex,2019-04-01 16:00:00,3.5702187885549996
SARD,PHS_PP_ex,2019-04-01 17:00:00,3.8198649212149998
SARD,PHS_PP_ex,2019-04-01 18:00:00,4.03067092264
SARD,PHS_PP_ex,2019-04-01 19:00:00,4.220814013905
SARD,PHS_PP_ex,2019-04-01 20:00:00,4.411482880725
SARD,PHS_PP_ex,2019-04-01 21:00:00,4.6010813617
SARD,PHS_PP_ex,2019-04-01 22:00:00,4.79577626187
SARD,PHS_PP_ex,2019-04-01 23:00:00,4.985374742845001
SARD,PHS_PP_ex,2019-04-02 00:00:00,5.174973223820001
SARD,PHS_PP_ex,2019-04-02 01:00:00,5.364571704795002
SARD,PHS_PP_ex,2019-04-02 02:00:00,5.554170185770002
SARD,PHS_PP_ex,2019-04-02 03:00:00,5.740141922665002
SARD,PHS_PP_ex,2019-04-02 04:00:00,5.932743060195001
SARD,PHS_PP_ex,2019-04-02 05:00:00,6.125344197725001
SARD,PHS_PP_ex,2019-04-02 06:00:00,6.317945335255001
SARD,PHS_PP_ex,2019-04-02 07:00:00,6.507543816230001
SARD,PHS_PP_ex,2019-04-02 08:00:00,6.697142297205001
SARD,PHS_PP_ex,2019-04-02 09:00:00,6.886740778180002
SARD,PHS_PP_ex,2019-04-02 10:00:00,7.076339259155002
SARD,PHS_PP_ex,2019-04-02 11:00:00,7.261230830570002
SARD,PHS_PP_ex,2019-04-02 12:00:00,7.4461224019850025
SARD,PHS_PP_ex,2019-04-02 13:00:00,7.631013973400003
SARD,PHS_PP_ex,2019-04-02 14:00:00,7.814515656180003
SARD,PHS_PP_ex,2019-04-02 15:00:00,8.000487393075003
SARD,PHS_PP_ex,2019-04-02 16:00:00,8.186459129970004
SARD,PHS_PP_ex,2019-04-02 17:00:00,8.372430866865004
SARD,PHS_PP_ex,2019-04-02 18:00:00,8.558402603760005
SARD,PHS_PP_ex,2019-04-02 19:00:00,8.741904286540004
