carriers,locs,techs,timesteps,capacity_factor
Power,CNOR,Bio_PP_ex,2019-04-02 13:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 14:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 15:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 16:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 17:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 18:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 19:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 20:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 21:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 22:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-02 23:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 00:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 01:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 02:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 03:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 04:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 05:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 06:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 07:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 08:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 09:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 10:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 11:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 12:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 13:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 14:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 15:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 16:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 17:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 18:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 19:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 20:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 21:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 22:00:00,0.0
Power,CNOR,Bio_PP_ex,2019-04-03 23:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 00:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 01:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 02:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 03:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 04:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 05:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 06:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 07:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 08:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 09:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 10:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 11:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 12:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 13:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 14:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 15:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 16:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 17:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 18:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 19:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 20:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 21:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 22:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-01 23:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 00:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 01:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 02:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 03:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 04:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 05:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 06:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 07:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 08:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 09:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 10:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 11:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 12:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 13:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 14:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 15:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 16:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 17:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 18:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 19:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 20:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 21:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 22:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-02 23:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 00:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 01:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 02:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 03:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 04:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 05:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 06:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 07:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 08:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 09:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 10:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 11:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 12:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 13:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 14:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 15:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 16:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 17:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 18:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 19:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 20:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 21:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 22:00:00,0.0
Power,CNOR,CCGT_PP_ex,2019-04-03 23:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 00:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 01:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 02:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 03:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 04:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 05:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 06:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 07:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 08:00:00,0.6535653182666686
Power,CNOR,Coal_PP_ex,2019-04-01 09:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 10:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 11:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 12:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 13:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 14:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 15:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-01 16:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 17:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 18:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 19:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 20:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 21:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 22:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-01 23:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 00:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 01:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 02:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 03:00:00,0.9854555269333333
Power,CNOR,Coal_PP_ex,2019-04-02 04:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 05:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 06:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 07:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 08:00:00,0.8495821453333335
Power,CNOR,Coal_PP_ex,2019-04-02 09:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-02 10:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-02 11:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-02 12:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-02 13:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-02 14:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-02 15:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 16:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 17:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 18:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 19:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 20:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 21:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 22:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-02 23:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 00:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 01:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 02:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 03:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 04:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 05:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 06:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 07:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 08:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 09:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 10:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 11:00:00,0.0
Power,CNOR,Coal_PP_ex,2019-04-03 12:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 13:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 14:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 15:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 16:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 17:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 18:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 19:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 20:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 21:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 22:00:00,1.0
Power,CNOR,Coal_PP_ex,2019-04-03 23:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 00:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 01:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 02:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 03:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 04:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 05:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 06:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 07:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 08:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 09:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 10:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 11:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 12:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 13:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 14:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 15:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 16:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 17:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 18:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 19:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 20:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 21:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 22:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-01 23:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 00:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 01:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 02:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 03:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 04:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 05:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 06:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 07:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 08:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 09:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 10:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 11:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 12:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 13:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 14:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 15:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 16:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 17:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 18:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 19:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 20:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 21:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 22:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-02 23:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 00:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 01:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 02:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 03:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 04:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 05:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 06:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 07:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 08:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 09:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 10:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 11:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 12:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 13:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 14:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 15:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 16:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 17:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 18:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 19:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 20:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 21:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 22:00:00,1.0
Power,CNOR,Geo_PP_ex,2019-04-03 23:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 00:00:00,0.817585689
Power,CNOR,Hydrodam_PP_ex,2019-04-01 01:00:00,0.8627544199999999
Power,CNOR,Hydrodam_PP_ex,2019-04-01 02:00:00,0.894825746
Power,CNOR,Hydrodam_PP_ex,2019-04-01 03:00:00,0.922569097
Power,CNOR,Hydrodam_PP_ex,2019-04-01 04:00:00,0.947344487
Power,CNOR,Hydrodam_PP_ex,2019-04-01 05:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 06:00:00,0.965331969
Power,CNOR,Hydrodam_PP_ex,2019-04-01 07:00:00,0.982233239
Power,CNOR,Hydrodam_PP_ex,2019-04-01 08:00:00,0.9503050739999999
Power,CNOR,Hydrodam_PP_ex,2019-04-01 09:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 10:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 11:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 12:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 13:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 14:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 15:00:00,1.0
Power,CNOR,Hydrodam_PP_ex,2019-04-01 16:00:00,0.969068787
Power,CNOR,Hydrodam_PP_ex,2019-04-01 17:00:00,0.945519222
Power,CNOR,Hydrodam_PP_ex,2019-04-01 18:00:00,0.8869934519999999
Power,CNOR,Hydrodam_PP_ex,2019-04-01 19:00:00,0.8065338169999999
Power,CNOR,Hydrodam_PP_ex,2019-04-01 20:00:00,0.8038702350000001
Power,CNOR,Hydrodam_PP_ex,2019-04-01 21:00:00,0.794433868
Power,CNOR,Hydrodam_PP_ex,2019-04-01 22:00:00,0.79102265
Power,CNOR,Hydrodam_PP_ex,2019-04-01 23:00:00,0.790912294
Power,CNOR,Hydrodam_PP_ex,2019-04-02 00:00:00,0.798139108
Power,CNOR,Hydrodam_PP_ex,2019-04-02 01:00:00,0.823480539
Power,CNOR,Hydrodam_PP_ex,2019-04-02 02:00:00,0.836799689
Power,CNOR,Hydrodam_PP_ex,2019-04-02 03:00:00,0.8313830180000001
Power,CNOR,Hydrodam_PP_ex,2019-04-02 04:00:00,0.829653864
Power,CNOR,Hydrodam_PP_ex,2019-04-02 05:00:00,0.828580933
Power,CNOR,Hydrodam_PP_ex,2019-04-02 06:00:00,0.820419112
Power,CNOR,Hydrodam_PP_ex,2019-04-02 07:00:00,0.81727498
Power,CNOR,Hydrodam_PP_ex,2019-04-02 08:00:00,0.820115696
Power,CNOR,Hydrodam_PP_ex,2019-04-02 09:00:00,0.839352284
Power,CNOR,Hydrodam_PP_ex,2019-04-02 10:00:00,0.866620683
Power,CNOR,Hydrodam_PP_ex,2019-04-02 11:00:00,0.8842217389999999
Power,CNOR,Hydrodam_PP_ex,2019-04-02 12:00:00,0.907234388
Power,CNOR,Hydrodam_PP_ex,2019-04-02 13:00:00,0.906042565
Power,CNOR,Hydrodam_PP_ex,2019-04-02 14:00:00,0.9079080089999999
Power,CNOR,Hydrodam_PP_ex,2019-04-02 15:00:00,0.871278108
Power,CNOR,Hydrodam_PP_ex,2019-04-02 16:00:00,0.8726043449999998
Power,CNOR,Hydrodam_PP_ex,2019-04-02 17:00:00,0.857049925
Power,CNOR,Hydrodam_PP_ex,2019-04-02 18:00:00,0.802149945
Power,CNOR,Hydrodam_PP_ex,2019-04-02 19:00:00,0.78765961
Power,CNOR,Hydrodam_PP_ex,2019-04-02 20:00:00,0.7765630360000001
Power,CNOR,Hydrodam_PP_ex,2019-04-02 21:00:00,0.7755580029999999
Power,CNOR,Hydrodam_PP_ex,2019-04-02 22:00:00,0.798407275
Power,CNOR,Hydrodam_PP_ex,2019-04-02 23:00:00,0.782033805
Power,CNOR,Hydrodam_PP_ex,2019-04-03 00:00:00,0.7901031019999999
Power,CNOR,Hydrodam_PP_ex,2019-04-03 01:00:00,0.800088558
Power,CNOR,Hydrodam_PP_ex,2019-04-03 02:00:00,0.7993321700000001
Power,CNOR,Hydrodam_PP_ex,2019-04-03 03:00:00,0.835736336
Power,CNOR,Hydrodam_PP_ex,2019-04-03 04:00:00,0.8060246790000001
Power,CNOR,Hydrodam_PP_ex,2019-04-03 05:00:00,0.795282324
Power,CNOR,Hydrodam_PP_ex,2019-04-03 06:00:00,0.80931261
Power,CNOR,Hydrodam_PP_ex,2019-04-03 07:00:00,0.820174717
Power,CNOR,Hydrodam_PP_ex,2019-04-03 08:00:00,0.830616051
Power,CNOR,Hydrodam_PP_ex,2019-04-03 09:00:00,0.829669514
Power,CNOR,Hydrodam_PP_ex,2019-04-03 10:00:00,0.874146837
Power,CNOR,Hydrodam_PP_ex,2019-04-03 11:00:00,0.887136346
Power,CNOR,Hydrodam_PP_ex,2019-04-03 12:00:00,0.889517114
Power,CNOR,Hydrodam_PP_ex,2019-04-03 13:00:00,0.889706812
Power,CNOR,Hydrodam_PP_ex,2019-04-03 14:00:00,0.868503644
Power,CNOR,Hydrodam_PP_ex,2019-04-03 15:00:00,0.868723899
Power,CNOR,Hydrodam_PP_ex,2019-04-03 16:00:00,0.8480491880000001
Power,CNOR,Hydrodam_PP_ex,2019-04-03 17:00:00,0.825883276
Power,CNOR,Hydrodam_PP_ex,2019-04-03 18:00:00,0.791337305
Power,CNOR,Hydrodam_PP_ex,2019-04-03 19:00:00,0.7805794469999999
Power,CNOR,Hydrodam_PP_ex,2019-04-03 20:00:00,0.771313984
Power,CNOR,Hydrodam_PP_ex,2019-04-03 21:00:00,0.7705108570000001
Power,CNOR,Hydrodam_PP_ex,2019-04-03 22:00:00,0.768511353
Power,CNOR,Hydrodam_PP_ex,2019-04-03 23:00:00,0.7703649389999999
Power,CNOR,Hydroror_PP_ex,2019-04-01 00:00:00,0.693749121
Power,CNOR,Hydroror_PP_ex,2019-04-01 01:00:00,0.699242966
Power,CNOR,Hydroror_PP_ex,2019-04-01 02:00:00,0.699664592
Power,CNOR,Hydroror_PP_ex,2019-04-01 03:00:00,0.712893256
Power,CNOR,Hydroror_PP_ex,2019-04-01 04:00:00,0.728010475
Power,CNOR,Hydroror_PP_ex,2019-04-01 05:00:00,0.731443058
Power,CNOR,Hydroror_PP_ex,2019-04-01 06:00:00,0.731540717
Power,CNOR,Hydroror_PP_ex,2019-04-01 07:00:00,0.73065515
Power,CNOR,Hydroror_PP_ex,2019-04-01 08:00:00,0.73029498
Power,CNOR,Hydroror_PP_ex,2019-04-01 09:00:00,0.731713323
Power,CNOR,Hydroror_PP_ex,2019-04-01 10:00:00,0.758344823
Power,CNOR,Hydroror_PP_ex,2019-04-01 11:00:00,0.801395612
Power,CNOR,Hydroror_PP_ex,2019-04-01 12:00:00,0.87134167
Power,CNOR,Hydroror_PP_ex,2019-04-01 13:00:00,0.925955675
Power,CNOR,Hydroror_PP_ex,2019-04-01 14:00:00,0.907236775
Power,CNOR,Hydroror_PP_ex,2019-04-01 15:00:00,0.803382546
Power,CNOR,Hydroror_PP_ex,2019-04-01 16:00:00,0.78694529
Power,CNOR,Hydroror_PP_ex,2019-04-01 17:00:00,0.739582763
Power,CNOR,Hydroror_PP_ex,2019-04-01 18:00:00,0.732003991
Power,CNOR,Hydroror_PP_ex,2019-04-01 19:00:00,0.694917751
Power,CNOR,Hydroror_PP_ex,2019-04-01 20:00:00,0.700039437
Power,CNOR,Hydroror_PP_ex,2019-04-01 21:00:00,0.697626515
