locs,techs,timesteps,resource
CNOR,Hydroror_PP_ex,2019-04-03 13:00:00,0.708276992
CNOR,Hydroror_PP_ex,2019-04-03 14:00:00,0.70854202
CNOR,Hydroror_PP_ex,2019-04-03 15:00:00,0.708351642
CNOR,Hydroror_PP_ex,2019-04-03 16:00:00,0.705109938
CNOR,Hydroror_PP_ex,2019-04-03 17:00:00,0.689012869
CNOR,Hydroror_PP_ex,2019-04-03 18:00:00,0.667952661
CNOR,Hydroror_PP_ex,2019-04-03 19:00:00,0.661716768
CNOR,Hydroror_PP_ex,2019-04-03 20:00:00,0.656781833
CNOR,Hydroror_PP_ex,2019-04-03 21:00:00,0.657812864
CNOR,Hydroror_PP_ex,2019-04-03 22:00:00,0.65503627
CNOR,Hydroror_PP_ex,2019-04-03 23:00:00,0.656279857
CNOR,PV_PP_ex,2019-04-01 00:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 01:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 02:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 03:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 04:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 05:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 06:00:00,0.046
CNOR,PV_PP_ex,2019-04-01 07:00:00,0.255
CNOR,PV_PP_ex,2019-04-01 08:00:00,0.47
CNOR,PV_PP_ex,2019-04-01 09:00:00,0.63
CNOR,PV_PP_ex,2019-04-01 10:00:00,0.731
CNOR,PV_PP_ex,2019-04-01 11:00:00,0.758
CNOR,PV_PP_ex,2019-04-01 12:00:00,0.732
CNOR,PV_PP_ex,2019-04-01 13:00:00,0.667
CNOR,PV_PP_ex,2019-04-01 14:00:00,0.542
CNOR,PV_PP_ex,2019-04-01 15:00:00,0.363
CNOR,PV_PP_ex,2019-04-01 16:00:00,0.196
CNOR,PV_PP_ex,2019-04-01 17:00:00,0.068
CNOR,PV_PP_ex,2019-04-01 18:00:00,0.001
