locs,techs,timesteps,required_resource
NORD,demand_power,2019-04-01 10:00:00,-19268987.0
NORD,demand_power,2019-04-01 11:00:00,-18801800.5
NORD,demand_power,2019-04-01 12:00:00,-18226819.75
NORD,demand_power,2019-04-01 13:00:00,-18003256.75
NORD,demand_power,2019-04-01 14:00:00,-17117452.0
NORD,demand_power,2019-04-01 15:00:00,-17037219.5
NORD,demand_power,2019-04-01 16:00:00,-16357330.5
NORD,demand_power,2019-04-01 17:00:00,-17061077.75
NORD,demand_power,2019-04-01 18:00:00,-18340848.5
NORD,demand_power,2019-04-01 19:00:00,-18808287.5
NORD,demand_power,2019-04-01 20:00:00,-17771063.0
NORD,demand_power,2019-04-01 21:00:00,-16727577.25
NORD,demand_power,2019-04-01 22:00:00,-15337485.0
NORD,demand_power,2019-04-01 23:00:00,-14099055.25
NORD,demand_power,2019-04-02 00:00:00,-13391019.75
NORD,demand_power,2019-04-02 01:00:00,-13175014.0
NORD,demand_power,2019-04-02 02:00:00,-13259903.5
NORD,demand_power,2019-04-02 03:00:00,-13233113.0
NORD,demand_power,2019-04-02 04:00:00,-13424470.0
NORD,demand_power,2019-04-02 05:00:00,-13890100.5
NORD,demand_power,2019-04-02 06:00:00,-14352784.75
NORD,demand_power,2019-04-02 07:00:00,-15099254.5
NORD,demand_power,2019-04-02 08:00:00,-16041732.25
NORD,demand_power,2019-04-02 09:00:00,-16493511.75
NORD,demand_power,2019-04-02 10:00:00,-17123126.25
NORD,demand_power,2019-04-02 11:00:00,-17095870.25
NORD,demand_power,2019-04-02 12:00:00,-15460484.25
NORD,demand_power,2019-04-02 13:00:00,-14736460.0
NORD,demand_power,2019-04-02 14:00:00,-13716264.75
NORD,demand_power,2019-04-02 15:00:00,-13995260.0
NORD,demand_power,2019-04-02 16:00:00,-15142672.25
NORD,demand_power,2019-04-02 17:00:00,-15836178.0
NORD,demand_power,2019-04-02 18:00:00,-17145909.0
NORD,demand_power,2019-04-02 19:00:00,-17726758.25
NORD,demand_power,2019-04-02 20:00:00,-17058418.75
NORD,demand_power,2019-04-02 21:00:00,-15991972.0
NORD,demand_power,2019-04-02 22:00:00,-14869910.25
NORD,demand_power,2019-04-02 23:00:00,-14019372.25
NORD,demand_power,2019-04-03 00:00:00,-13232907.0
NORD,demand_power,2019-04-03 01:00:00,-13045423.0
NORD,demand_power,2019-04-03 02:00:00,-13147142.5
NORD,demand_power,2019-04-03 03:00:00,-13621049.25
NORD,demand_power,2019-04-03 04:00:00,-15130047.0
NORD,demand_power,2019-04-03 05:00:00,-18895952.5
NORD,demand_power,2019-04-03 06:00:00,-22516372.5
NORD,demand_power,2019-04-03 07:00:00,-25254604.75
NORD,demand_power,2019-04-03 08:00:00,-25479008.5
NORD,demand_power,2019-04-03 09:00:00,-25176975.5
NORD,demand_power,2019-04-03 10:00:00,-24574057.75
NORD,demand_power,2019-04-03 11:00:00,-23357155.25
NORD,demand_power,2019-04-03 12:00:00,-23848765.0
NORD,demand_power,2019-04-03 13:00:00,-24716780.5
NORD,demand_power,2019-04-03 14:00:00,-24623362.75
NORD,demand_power,2019-04-03 15:00:00,-24139763.25
NORD,demand_power,2019-04-03 16:00:00,-23123942.5
NORD,demand_power,2019-04-03 17:00:00,-22995165.25
NORD,demand_power,2019-04-03 18:00:00,-23755889.0
NORD,demand_power,2019-04-03 19:00:00,-23876815.75
NORD,demand_power,2019-04-03 20:00:00,-22453444.75
NORD,demand_power,2019-04-03 21:00:00,-20361428.25
NORD,demand_power,2019-04-03 22:00:00,-18849059.5
NORD,demand_power,2019-04-03 23:00:00,-17511703.0
SARD,demand_power,2019-04-01 00:00:00,-740657.5
SARD,demand_power,2019-04-01 01:00:00,-721309.25
SARD,demand_power,2019-04-01 02:00:00,-701314.5
SARD,demand_power,2019-04-01 03:00:00,-706083.5
SARD,demand_power,2019-04-01 04:00:00,-714123.25
SARD,demand_power,2019-04-01 05:00:00,-774070.75
SARD,demand_power,2019-04-01 06:00:00,-859229.5
SARD,demand_power,2019-04-01 07:00:00,-959432.25
SARD,demand_power,2019-04-01 08:00:00,-1048783.5
SARD,demand_power,2019-04-01 09:00:00,-1095610.25
SARD,demand_power,2019-04-01 10:00:00,-1042787.5
SARD,demand_power,2019-04-01 11:00:00,-1009574.5
SARD,demand_power,2019-04-01 12:00:00,-921336.75
SARD,demand_power,2019-04-01 13:00:00,-902518.75
SARD,demand_power,2019-04-01 14:00:00,-912742.0
SARD,demand_power,2019-04-01 15:00:00,-905725.25
SARD,demand_power,2019-04-01 16:00:00,-935124.5
SARD,demand_power,2019-04-01 17:00:00,-924797.0
SARD,demand_power,2019-04-01 18:00:00,-954189.25
SARD,demand_power,2019-04-01 19:00:00,-1007458.0
SARD,demand_power,2019-04-01 20:00:00,-963078.5
SARD,demand_power,2019-04-01 21:00:00,-892840.25
SARD,demand_power,2019-04-01 22:00:00,-829421.5
SARD,demand_power,2019-04-01 23:00:00,-775787.0
SARD,demand_power,2019-04-02 00:00:00,-730484.25
SARD,demand_power,2019-04-02 01:00:00,-704165.5
SARD,demand_power,2019-04-02 02:00:00,-688602.25
SARD,demand_power,2019-04-02 03:00:00,-691181.75
SARD,demand_power,2019-04-02 04:00:00,-704161.0
SARD,demand_power,2019-04-02 05:00:00,-736658.75
SARD,demand_power,2019-04-02 06:00:00,-791350.25
SARD,demand_power,2019-04-02 07:00:00,-862562.25
SARD,demand_power,2019-04-02 08:00:00,-931727.25
SARD,demand_power,2019-04-02 09:00:00,-949384.75
SARD,demand_power,2019-04-02 10:00:00,-985811.5
SARD,demand_power,2019-04-02 11:00:00,-1093786.0
SARD,demand_power,2019-04-02 12:00:00,-989310.5
SARD,demand_power,2019-04-02 13:00:00,-1001164.5
SARD,demand_power,2019-04-02 14:00:00,-922874.75
SARD,demand_power,2019-04-02 15:00:00,-817114.75
SARD,demand_power,2019-04-02 16:00:00,-890307.0
SARD,demand_power,2019-04-02 17:00:00,-950936.5
SARD,demand_power,2019-04-02 18:00:00,-968393.5
SARD,demand_power,2019-04-02 19:00:00,-1027268.5
SARD,demand_power,2019-04-02 20:00:00,-990542.75
SARD,demand_power,2019-04-02 21:00:00,-911312.5
SARD,demand_power,2019-04-02 22:00:00,-852202.75
SARD,demand_power,2019-04-02 23:00:00,-775461.0
SARD,demand_power,2019-04-03 00:00:00,-728457.25
SARD,demand_power,2019-04-03 01:00:00,-703365.0
SARD,demand_power,2019-04-03 02:00:00,-694567.0
SARD,demand_power,2019-04-03 03:00:00,-703061.25
SARD,demand_power,2019-04-03 04:00:00,-740612.0
SARD,demand_power,2019-04-03 05:00:00,-840135.75
SARD,demand_power,2019-04-03 06:00:00,-971132.0
SARD,demand_power,2019-04-03 07:00:00,-1081843.25
SARD,demand_power,2019-04-03 08:00:00,-1207703.0
SARD,demand_power,2019-04-03 09:00:00,-1169827.25
SARD,demand_power,2019-04-03 10:00:00,-1110170.25
SARD,demand_power,2019-04-03 11:00:00,-1068552.5
SARD,demand_power,2019-04-03 12:00:00,-1064019.75
SARD,demand_power,2019-04-03 13:00:00,-1005466.0
SARD,demand_power,2019-04-03 14:00:00,-1116977.0
SARD,demand_power,2019-04-03 15:00:00,-1019400.0
SARD,demand_power,2019-04-03 16:00:00,-912685.75
SARD,demand_power,2019-04-03 17:00:00,-917559.5
SARD,demand_power,2019-04-03 18:00:00,-1003952.75
SARD,demand_power,2019-04-03 19:00:00,-1077867.75
SARD,demand_power,2019-04-03 20:00:00,-1033934.25
SARD,demand_power,2019-04-03 21:00:00,-946086.75
SARD,demand_power,2019-04-03 22:00:00,-852602.25
SARD,demand_power,2019-04-03 23:00:00,-777047.0
SICI,demand_power,2019-04-01 00:00:00,-1589403.0
SICI,demand_power,2019-04-01 01:00:00,-1529704.75
SICI,demand_power,2019-04-01 02:00:00,-1502883.25
SICI,demand_power,2019-04-01 03:00:00,-1521007.25
SICI,demand_power,2019-04-01 04:00:00,-1558828.75
SICI,demand_power,2019-04-01 05:00:00,-1667511.25
SICI,demand_power,2019-04-01 06:00:00,-1818040.25
SICI,demand_power,2019-04-01 07:00:00,-2229596.0
SICI,demand_power,2019-04-01 08:00:00,-2390644.5
SICI,demand_power,2019-04-01 09:00:00,-2423741.25
SICI,demand_power,2019-04-01 10:00:00,-2231757.75
SICI,demand_power,2019-04-01 11:00:00,-2341793.5
SICI,demand_power,2019-04-01 12:00:00,-2272290.25
SICI,demand_power,2019-04-01 13:00:00,-2143387.5
SICI,demand_power,2019-04-01 14:00:00,-2274793.75
SICI,demand_power,2019-04-01 15:00:00,-2128087.0
SICI,demand_power,2019-04-01 16:00:00,-2208467.75
SICI,demand_power,2019-04-01 17:00:00,-2200931.25
SICI,demand_power,2019-04-01 18:00:00,-2347795.5
SICI,demand_power,2019-04-01 19:00:00,-2514999.5
SICI,demand_power,2019-04-01 20:00:00,-2358018.0
SICI,demand_power,2019-04-01 21:00:00,-2211954.25
SICI,demand_power,2019-04-01 22:00:00,-1999887.25
SICI,demand_power,2019-04-01 23:00:00,-1772462.5
SICI,demand_power,2019-04-02 00:00:00,-1626832.75
SICI,demand_power,2019-04-02 01:00:00,-1536030.75
SICI,demand_power,2019-04-02 02:00:00,-1503634.25
SICI,demand_power,2019-04-02 03:00:00,-1481570.0
SICI,demand_power,2019-04-02 04:00:00,-1488397.5
SICI,demand_power,2019-04-02 05:00:00,-1557975.25
SICI,demand_power,2019-04-02 06:00:00,-1686188.0
SICI,demand_power,2019-04-02 07:00:00,-2204005.75
SICI,demand_power,2019-04-02 08:00:00,-2564693.25
SICI,demand_power,2019-04-02 09:00:00,-2397689.75
SICI,demand_power,2019-04-02 10:00:00,-2197142.25
SICI,demand_power,2019-04-02 11:00:00,-2372440.5
