locs,techs,timesteps,required_resource
CNOR,demand_power,2019-01-10 21:00:00,-6206376.014
CNOR,demand_power,2019-01-10 22:00:00,-5591858.864
CNOR,demand_power,2019-01-10 23:00:00,-5121069.276
CNOR,demand_power,2019-01-11 00:00:00,-4584927.765
CNOR,demand_power,2019-01-11 01:00:00,-4378506.007
CNOR,demand_power,2019-01-11 02:00:00,-4287446.129
CNOR,demand_power,2019-01-11 03:00:00,-4270486.381
CNOR,demand_power,2019-01-11 04:00:00,-4337832.625
CNOR,demand_power,2019-01-11 05:00:00,-4597854.946
CNOR,demand_power,2019-01-11 06:00:00,-5636094.484
CNOR,demand_power,2019-01-11 07:00:00,-6623042.097
CNOR,demand_power,2019-01-11 08:00:00,-7510493.193
CNOR,demand_power,2019-01-11 09:00:00,-7920497.351
CNOR,demand_power,2019-01-11 10:00:00,-7803494.81
CNOR,demand_power,2019-01-11 11:00:00,-7703390.709
CNOR,demand_power,2019-01-11 12:00:00,-7357615.723
CNOR,demand_power,2019-01-11 13:00:00,-7289974.379
CNOR,demand_power,2019-01-11 14:00:00,-7493511.027
CNOR,demand_power,2019-01-11 15:00:00,-7575065.503
CNOR,demand_power,2019-01-11 16:00:00,-7549796.765
CNOR,demand_power,2019-01-11 17:00:00,-7594370.948
CNOR,demand_power,2019-01-11 18:00:00,-7279472.045
CNOR,demand_power,2019-01-11 19:00:00,-7026524.33
CNOR,demand_power,2019-01-11 20:00:00,-6543643.447
CNOR,demand_power,2019-01-11 21:00:00,-6058722.488
CNOR,demand_power,2019-01-11 22:00:00,-5362186.023
CNOR,demand_power,2019-01-11 23:00:00,-4792245.344
CNOR,demand_power,2019-01-12 00:00:00,-4314662.066
CNOR,demand_power,2019-01-12 01:00:00,-4124583.778
CNOR,demand_power,2019-01-12 02:00:00,-4051442.149
CNOR,demand_power,2019-01-12 03:00:00,-4042469.299
CNOR,demand_power,2019-01-12 04:00:00,-4106204.808
CNOR,demand_power,2019-01-12 05:00:00,-4426386.675
CNOR,demand_power,2019-01-12 06:00:00,-5354212.393
CNOR,demand_power,2019-01-12 07:00:00,-6436343.955
CNOR,demand_power,2019-01-12 08:00:00,-7272628.486
CNOR,demand_power,2019-01-12 09:00:00,-7978925.19
CNOR,demand_power,2019-01-12 10:00:00,-8241955.694
CNOR,demand_power,2019-01-12 11:00:00,-8109931.91
CNOR,demand_power,2019-01-12 12:00:00,-7529078.961
CNOR,demand_power,2019-01-12 13:00:00,-7175113.024
CNOR,demand_power,2019-01-12 14:00:00,-7249318.383
CNOR,demand_power,2019-01-12 15:00:00,-7209508.796
CNOR,demand_power,2019-01-12 16:00:00,-7198990.907
CNOR,demand_power,2019-01-12 17:00:00,-7402558.665
CNOR,demand_power,2019-01-12 18:00:00,-7287844.174
CNOR,demand_power,2019-01-12 19:00:00,-7078195.996
CNOR,demand_power,2019-01-12 20:00:00,-6621940.85
CNOR,demand_power,2019-01-12 21:00:00,-6174322.278
CNOR,demand_power,2019-01-12 22:00:00,-5447855.42
CNOR,demand_power,2019-01-12 23:00:00,-4870714.317
CNOR,demand_power,2019-01-13 00:00:00,-4399154.725
CNOR,demand_power,2019-01-13 01:00:00,-4175574.198
CNOR,demand_power,2019-01-13 02:00:00,-4126555.224
CNOR,demand_power,2019-01-13 03:00:00,-3990640.247
CNOR,demand_power,2019-01-13 04:00:00,-4022195.288
CNOR,demand_power,2019-01-13 05:00:00,-4332025.345
CNOR,demand_power,2019-01-13 06:00:00,-5393517.338
CNOR,demand_power,2019-01-13 07:00:00,-6491908.644
CNOR,demand_power,2019-01-13 08:00:00,-7512898.824
CNOR,demand_power,2019-01-13 09:00:00,-7856793.868
CNOR,demand_power,2019-01-13 10:00:00,-7724284.657
CNOR,demand_power,2019-01-13 11:00:00,-7688178.681
CNOR,demand_power,2019-01-13 12:00:00,-7373355.726
CNOR,demand_power,2019-01-13 13:00:00,-6964703.535
CNOR,demand_power,2019-01-13 14:00:00,-7241227.628
CNOR,demand_power,2019-01-13 15:00:00,-7275802.29
CNOR,demand_power,2019-01-13 16:00:00,-7259579.605
CNOR,demand_power,2019-01-13 17:00:00,-7379357.452
CNOR,demand_power,2019-01-13 18:00:00,-7214024.502
CNOR,demand_power,2019-01-13 19:00:00,-7000247.221
CNOR,demand_power,2019-01-13 20:00:00,-6483488.476
CNOR,demand_power,2019-01-13 21:00:00,-6041978.232
CNOR,demand_power,2019-01-13 22:00:00,-5462196.333
