costs,locs,techs,cost_investment,,Investment Costs (milion Û),,,,Investment Costs (milion Û)
co2,SARD,CCGT_PP_ex,0,,,,,,
co2,SARD,Coal_PP_ex,0,,,,,,
co2,SARD,Hydrodam_PP_ex,0,,,,,,
co2,SARD,Hydroror_PP_ex,0,,,,,,
co2,SARD,Hydroror_PP_new,0,,,,,,
co2,SARD,Oil_PP_ex,0,,,,,,
co2,SARD,PHS_PP_ex,0,,,,,,
co2,SARD,PHS_PP_new,0,,,,,,
co2,SARD,PV_PP_ex,0,,,,,,
co2,SARD,PV_PP_new,0,,,,,,
co2,SARD,PV_roof_ex,0,,,,,,
co2,SARD,PV_roof_new,0,,,,,,
co2,SARD,WTE_PP_ex,0,,,,,,
co2,SARD,Wind_PP_ex,0,,,,,,
co2,SARD,Wind_off_PP_new,0,,,,,,
co2,SARD,Wind_on_PP_new,0,,,,,,
co2,SICI,Bio_PP_ex,0,,,,,,
co2,SICI,CCGT_PP_ex,0,,,,,,
co2,SICI,Hydrodam_PP_ex,0,,,,,,
co2,SICI,Hydroror_PP_ex,0,,,,,,
co2,SICI,Hydroror_PP_new,0,,,,,,
co2,SICI,Oil_PP_ex,0,,,,,,
co2,SICI,PHS_PP_ex,0,,,,,,
co2,SICI,PHS_PP_new,0,,,,,,
co2,SICI,PV_PP_ex,0,,,,,,
co2,SICI,PV_PP_new,0,,,,,,
co2,SICI,PV_roof_ex,0,,,,,,
co2,SICI,PV_roof_new,0,,,,,,
co2,SICI,Wind_PP_ex,0,,,,,,
co2,SICI,Wind_off_PP_new,0,,,,,,
co2,SICI,Wind_on_PP_new,0,,,,,,
co2,SUD,Bio_PP_ex,0,,,,,,
co2,SUD,CCGT_PP_ex,0,,,,,,
co2,SUD,Coal_PP_ex,0,,,,,,
co2,SUD,Hydrodam_PP_ex,0,,,,,,
co2,SUD,Hydroror_PP_ex,0,,,,,,
co2,SUD,Hydroror_PP_new,0,,,,,,
co2,SUD,Oil_PP_ex,0,,,,,,
co2,SUD,PHS_PP_new,0,,,,,,
co2,SUD,PV_PP_ex,0,,,,,,
co2,SUD,PV_PP_new,0,,,,,,
co2,SUD,PV_roof_ex,0,,,,,,
co2,SUD,PV_roof_new,0,,,,,,
co2,SUD,WTE_PP_ex,0,,,,,,
co2,SUD,Wind_PP_ex,0,,,,,,
co2,SUD,Wind_off_PP_new,0,,,,,,
co2,SUD,Wind_on_PP_new,0,,,,,,
